,hPa,LBL_g1,LBLk_g1,PAR_g1,LBL_g2,LBLk_g2,PAR_g2,LBL_g3,LBLk_g3,PAR_g3,LBL_g4,LBLk_g4,PAR_g4,LBL_g5,LBLk_g5,PAR_g5,LBL_g6,LBLk_g6,PAR_g6,LBL_g7,LBLk_g7,PAR_g7,LBL_g8,LBLk_g8,PAR_g8,LBL_g9,LBLk_g9,PAR_g9,LBL_g10,LBLk_g10,PAR_g10,LBL_g11,LBLk_g11,PAR_g11,LBL_g12,LBLk_g12,PAR_g12,LBL_tot,LBLk_tot,PAR_tot,LBLk - LBL,PAR - LBL
50,430.5125,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0028699999999999997,0.0,0.0,2.9999999999999997e-05,0.0,0.0,0.027989999999999998,0.02115,0.0211,0.12772,0.13589,0.13593,0.05463,0.05028,0.05032,0.00962,0.00891,0.00892,0.00216,0.00193,0.00193,0.00037,0.00033999999999999997,0.00033999999999999997,5.9999999999999995e-05,5.9999999999999995e-05,5.9999999999999995e-05,0.22555999999999998,0.21857,0.2186,-0.0069900000000000006,-0.006959999999999999
51,454.2875,0.0,0.0,0.0,0.0,0.0,0.0,5e-05,0.0,0.0,0.00267,0.0,0.0,0.0,0.0,0.0,0.01485,0.00683,0.0068,0.1348,0.15049,0.15049,0.07506,0.07048,0.07053,0.01425,0.013219999999999999,0.01323,0.00324,0.0028699999999999997,0.0028699999999999997,0.00056,0.0005099999999999999,0.0005099999999999999,9e-05,9e-05,9e-05,0.24558000000000002,0.24449,0.24452,-0.00109,-0.00105
52,478.0625,0.0,0.0,0.0,0.0,0.0,0.0,2e-05,0.0,0.0,0.00227,0.0,0.0,0.0,0.0,0.0,0.0057799999999999995,0.0011300000000000001,0.00112,0.1225,0.14059000000000002,0.14053,0.0952,0.09186,0.09191,0.020030000000000003,0.0186,0.018619999999999998,0.00462,0.004079999999999999,0.004079999999999999,0.0008,0.00073,0.00073,0.00013000000000000002,0.00013000000000000002,0.00013000000000000002,0.25136,0.25711999999999996,0.25713,0.00576,0.00577
53,501.8375,0.0,0.0,0.0,0.0,0.0,0.0,1e-05,0.0,0.0,0.00179,0.0,0.0,0.0,0.0,0.0,0.00168,8e-05,8e-05,0.09677000000000001,0.10844000000000001,0.10834,0.11148,0.11137999999999999,0.11143,0.02684,0.024990000000000002,0.02501,0.00633,0.00556,0.00556,0.0011099999999999999,0.001,0.001,0.00018999999999999998,0.00018,0.00018,0.24619000000000002,0.25163,0.25161,0.0054399999999999995,0.00542
54,525.6125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00134,0.0,0.0,0.0,0.0,0.0,0.00039,0.0,0.0,0.06729,0.06766,0.06755,0.12055999999999999,0.12598,0.12602,0.0344,0.0323,0.03232,0.00835,0.00732,0.00733,0.00147,0.00132,0.00133,0.00025,0.00023999999999999998,0.00023999999999999998,0.23405,0.23481999999999997,0.23479,0.00078,0.00074
55,549.3875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00095,0.0,0.0,0.0,0.0,0.0,8e-05,0.0,0.0,0.041569999999999996,0.03321,0.03313,0.12063,0.13199,0.13201,0.04226,0.040080000000000005,0.04011,0.01066,0.00932,0.00933,0.0018800000000000002,0.0017,0.0017,0.00032,0.00031,0.00031,0.21836,0.21661,0.21659,-0.00175,-0.0017699999999999999
56,573.1625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00065,0.0,0.0,0.0,0.0,0.0,2e-05,0.0,0.0,0.02301,0.01258,0.01254,0.11227000000000001,0.12793,0.12792,0.0499,0.04791,0.047939999999999997,0.01319,0.01152,0.01153,0.00235,0.0021100000000000003,0.0021100000000000003,0.0004,0.00039,0.00039,0.2018,0.20244,0.20243,0.00064,0.00063
57,596.9375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01154,0.0036200000000000004,0.0036,0.09792999999999999,0.11452000000000001,0.11448,0.056729999999999996,0.05525,0.055279999999999996,0.015880000000000002,0.01384,0.01385,0.00286,0.00256,0.00256,0.00049,0.00047999999999999996,0.00047999999999999996,0.18586,0.19025999999999998,0.19025,0.0044,0.00439
58,620.7125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00536,0.00078,0.00078,0.08086,0.09466000000000001,0.0946,0.062220000000000004,0.0616,0.06164,0.01863,0.01621,0.01622,0.0034,0.00303,0.00303,0.00059,0.00057,0.00057,0.17134000000000002,0.17686,0.17684,0.005520000000000001,0.0055
59,644.4875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024,0.00013000000000000002,0.00013000000000000002,0.06386,0.07239,0.07231,0.06598,0.06666,0.0667,0.02135,0.01859,0.0186,0.00395,0.00351,0.00352,0.0006900000000000001,0.00067,0.00067,0.15842,0.16195,0.16192,0.0035299999999999997,0.00351
60,668.2625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00109,2e-05,2e-05,0.04871,0.05123,0.051160000000000004,0.06782,0.07009,0.07012,0.02393,0.02089,0.020909999999999998,0.00451,0.004,0.004,0.0008,0.0007700000000000001,0.0007700000000000001,0.14697000000000002,0.147,0.14697000000000002,2.9999999999999997e-05,1e-05
61,692.0375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005200000000000001,0.0,0.0,0.03613,0.0336,0.033530000000000004,0.06775,0.07164,0.07166,0.0263,0.023030000000000002,0.02305,0.00505,0.00448,0.00448,0.0009,0.0008699999999999999,0.0008699999999999999,0.13673,0.13360999999999998,0.13359000000000001,-0.00312,-0.00314
62,715.8125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00026000000000000003,0.0,0.0,0.02621,0.02049,0.02044,0.06596,0.07131,0.07132999999999999,0.028380000000000002,0.02495,0.02496,0.00557,0.0049299999999999995,0.0049299999999999995,0.001,0.0009699999999999999,0.0009699999999999999,0.12744,0.12264000000000001,0.12262999999999999,-0.0048,-0.00481
63,739.5875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9999999999999997e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00014,0.0,0.0,0.018680000000000002,0.01168,0.011640000000000001,0.06277,0.06927,0.06928,0.030119999999999997,0.02659,0.02661,0.00606,0.00534,0.00534,0.0011,0.00106,0.00106,0.11889000000000001,0.11395,0.11394000000000001,-0.00495,-0.00495
64,763.3625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8e-05,0.0,0.0,0.01314,0.00626,0.00624,0.058589999999999996,0.06584,0.06584,0.03148,0.02793,0.02795,0.0065,0.00571,0.00572,0.00119,0.00115,0.00115,0.11099,0.10689000000000001,0.1069,-0.00409,-0.00409
65,787.1375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4e-05,0.0,0.0,0.00916,0.00317,0.00316,0.053779999999999994,0.061320000000000006,0.061320000000000006,0.03245,0.028960000000000003,0.028980000000000002,0.00688,0.00604,0.00604,0.0012699999999999999,0.00123,0.00123,0.10359000000000002,0.10072,0.10073,-0.0028699999999999997,-0.00286
