hPa,LBL_g1,LBLg_g1,LBLk_g1,LBL_g2,LBLg_g2,LBLk_g2,LBL_g3,LBLg_g3,LBLk_g3,LBL_g4,LBLg_g4,LBLk_g4,LBL_g5,LBLg_g5,LBLk_g5,LBL_g6,LBLg_g6,LBLk_g6,LBL_tot,LBLg_tot,LBLk_tot
418.625,0.0,0.0,0.0,0.014257,6e-06,6e-06,0.264293,0.030688,0.030848,0.322376,0.250082,0.249904,4.967583,5.034976,5.03327,219.727181,219.76666,219.765255,225.29569,225.08241,225.07928
442.4,0.0,0.0,0.0,0.013666,4e-06,4e-06,0.259492,0.025191,0.025339,0.29434,0.21906,0.218964,4.894094,4.965535,4.963742,219.700565,219.743522,219.741974,225.16216,224.95331,224.95002
466.175,0.0,0.0,0.0,0.013113,3e-06,3e-06,0.254954,0.020734,0.02087,0.26864,0.191356,0.191328,4.819532,4.894648,4.892762,219.672854,219.719382,219.717682,225.02909,224.82612,224.82265
489.95,0.0,0.0,0.0,0.012595,2e-06,2e-06,0.250645,0.017113,0.017234,0.245118,0.166735,0.166745,4.7441,4.822486,4.82054,219.644067,219.694251,219.692414,224.89652,224.70059,224.69693
513.725,0.0,0.0,0.0,0.012109,1e-06,1e-06,0.246539,0.014164,0.014265,0.223617,0.14495,0.144964,4.667989,4.749212,4.747261,219.614221,219.668136,219.666197,224.76447,224.57646,224.57269
537.5,0.0,0.0,0.0,0.011653,1e-06,1e-06,0.242616,0.011757,0.011846,0.203988,0.12575,0.1258,4.591379,4.674984,4.672998,219.583336,219.641048,219.638968,224.63297,224.45354,224.44961
561.275,0.0,0.0,0.0,0.011222,1e-06,1e-06,0.23886,0.009787,0.009866,0.18609,0.108888,0.10898,4.51444,4.599951,4.597927,219.551435,219.612998,219.61076,224.50205,224.33162,224.32753
585.05,0.0,0.0,0.0,0.010817,1e-06,1e-06,0.235256,0.00817,0.008241,0.169786,0.094127,0.094251,4.437331,4.524257,4.522213,219.518539,219.583999,219.581605,224.37173,224.21055,224.20631
608.825,0.0,0.0,0.0,0.010434,0.0,0.0,0.231795,0.00684,0.006902,0.15495,0.081241,0.081382,4.3602,4.448039,4.446005,219.484674,219.554065,219.551534,224.24205,224.09019,224.08582
632.6,0.0,0.0,0.0,0.010073,0.0,0.0,0.228465,0.005742,0.005796,0.141461,0.070022,0.070161,4.283185,4.371427,4.369444,219.449867,219.523211,219.520579,224.11305,223.9704,223.96598
656.375,0.0,0.0,0.0,0.009732,0.0,0.0,0.22526,0.004834,0.004881,0.129208,0.060277,0.060416,4.206418,4.294545,4.292621,219.414147,219.491455,219.488716,223.98476,223.85111,223.84663
680.15,0.0,0.0,0.0,0.009409,0.0,0.0,0.222173,0.004081,0.004122,0.118087,0.051831,0.051977,4.13003,4.217524,4.215633,219.37755,219.458821,219.455939,223.85725,223.73226,223.72767
703.925,0.0,0.0,0.0,0.009104,0.0,0.0,0.219196,0.003454,0.00349,0.108,0.044525,0.044677,4.054128,4.140469,4.138597,219.340104,219.425324,219.422278,223.73053,223.61377,223.60904
727.7,0.0,0.0,0.0,0.008814,0.0,0.0,0.216325,0.002931,0.002963,0.098856,0.038216,0.03837,3.978807,4.06348,4.061621,219.301838,219.390982,219.387766,223.60464,223.49561,223.49072
751.475,0.0,0.0,0.0,0.00854,0.0,0.0,0.213553,0.002494,0.002522,0.090571,0.032775,0.032925,3.904155,3.986648,3.984802,219.262778,219.355811,219.352431,223.4796,223.37773,223.37268
