hPa,LBL_g1,LBLg_g1,LBLk_g1,LBL_g2,LBLg_g2,LBLk_g2,LBL_g3,LBLg_g3,LBLk_g3,LBL_g4,LBLg_g4,LBLk_g4,LBL_g5,LBLg_g5,LBLk_g5,LBL_g6,LBLg_g6,LBLk_g6,LBL_tot,LBLg_tot,LBLk_tot
0.0131,0.026515,0.026531,0.026532,0.085016,0.085019,0.085019,0.341798,0.3418,0.3418,0.516542,0.516542,0.516542,2.89938,2.89938,2.89938,110.004938,110.004938,110.004939,113.87419,113.87421,113.87421
0.0184,0.026414,0.026437,0.026437,0.084998,0.085003,0.085003,0.341793,0.341795,0.341795,0.516542,0.516542,0.516542,2.89938,2.89938,2.89938,110.004937,110.004937,110.004937,113.87406,113.87409,113.87409
0.0258,0.026275,0.026306,0.026306,0.084974,0.08498,0.08498,0.341786,0.341789,0.341788,0.516541,0.516541,0.516542,2.899379,2.89938,2.89938,110.004935,110.004936,110.004936,113.87389,113.87393,113.87393
0.0362,0.026082,0.026123,0.026123,0.084939,0.084948,0.084948,0.341775,0.34178,0.341779,0.516541,0.516541,0.516542,2.899379,2.899379,2.899379,110.004933,110.004934,110.004934,113.87365,113.8737,113.87371
0.0508,0.025817,0.025868,0.025869,0.084891,0.084903,0.084903,0.34176,0.341767,0.341766,0.516541,0.516541,0.516542,2.899378,2.899378,2.899379,110.004929,110.004931,110.004931,113.87332,113.87339,113.87339
0.0713,0.025453,0.025517,0.025518,0.084822,0.084839,0.084839,0.341739,0.341748,0.341748,0.516541,0.516541,0.516542,2.899377,2.899377,2.899378,110.004925,110.004927,110.004927,113.87286,113.87295,113.87295
0.1,0.024961,0.025034,0.025035,0.084724,0.084748,0.084748,0.341708,0.341721,0.341721,0.516541,0.516541,0.516541,2.899375,2.899376,2.899376,110.004918,110.004921,110.004921,113.87223,113.87234,113.87234
0.1403,0.024306,0.024378,0.02438,0.084581,0.084615,0.084615,0.341663,0.341681,0.341681,0.516541,0.516541,0.516541,2.899372,2.899373,2.899373,110.004908,110.004913,110.004913,113.87137,113.8715,113.8715
0.1968,0.023445,0.023496,0.023499,0.084375,0.084422,0.084422,0.341595,0.341622,0.341621,0.51654,0.51654,0.51654,2.899367,2.899369,2.899369,110.004893,110.0049,110.0049,113.87022,113.87035,113.87035
0.276,0.022333,0.022326,0.022329,0.084077,0.084142,0.084142,0.341494,0.341534,0.341532,0.516539,0.516539,0.516539,2.89936,2.899363,2.899363,110.00487,110.004881,110.004881,113.86867,113.86878,113.86879
0.3871,0.020932,0.020801,0.020805,0.083647,0.083737,0.083737,0.341343,0.341401,0.3414,0.516537,0.516537,0.516537,2.899348,2.899353,2.899353,110.004837,110.004852,110.004852,113.86664,113.86668,113.86668
0.5431,0.019212,0.018861,0.018864,0.08303,0.083151,0.083151,0.341116,0.341203,0.341201,0.516533,0.516533,0.516533,2.899328,2.899337,2.899337,110.004786,110.004809,110.004809,113.86401,113.86389,113.8639
0.7617,0.017174,0.016477,0.016481,0.082148,0.082309,0.08231,0.340777,0.340906,0.340904,0.516526,0.516527,0.516527,2.899297,2.899311,2.89931,110.00471,110.004744,110.004743,113.86063,113.86027,113.86028
1.0685,0.014845,0.013666,0.013671,0.080905,0.081107,0.08111,0.340276,0.340466,0.340463,0.516515,0.516515,0.516515,2.899246,2.899269,2.899268,110.004595,110.004647,110.004645,113.85638,113.85567,113.85567
1.4988,0.012289,0.010523,0.010528,0.079205,0.079439,0.079443,0.339564,0.339838,0.339834,0.516495,0.516495,0.516495,2.899171,2.899208,2.899207,110.004433,110.004509,110.004506,113.85116,113.85001,113.85001
2.1024,0.009624,0.007281,0.007285,0.076948,0.077176,0.077181,0.33859,0.33897,0.338964,0.516461,0.516462,0.516461,2.899069,2.899123,2.89912,110.004215,110.004324,110.004319,113.84491,113.84333,113.84333
2.949,0.007023,0.004332,0.004335,0.074004,0.074142,0.074149,0.337262,0.33777,0.337762,0.516401,0.516402,0.516401,2.898928,2.899002,2.898998,110.003927,110.004078,110.004072,113.83754,113.83573,113.83572
4.1366,0.004678,0.002087,0.00209,0.070215,0.070109,0.070116,0.335433,0.336095,0.336082,0.516292,0.516293,0.516291,2.898725,2.898826,2.89882,110.003543,110.003751,110.003742,113.82889,113.82716,113.82714
5.8025,0.002769,0.00075,0.000752,0.065411,0.064807,0.064819,0.332871,0.333718,0.3337,0.516086,0.516088,0.516085,2.898424,2.898558,2.89855,110.003028,110.003312,110.003299,113.81859,113.81723,113.81721
8.1392,0.001404,0.000181,0.000182,0.059432,0.057961,0.057971,0.329208,0.330277,0.330247,0.515692,0.515696,0.51569,2.897951,2.89813,2.898117,110.00233,110.002716,110.002698,113.80602,113.80496,113.80491
11.417,0.000578,2.5e-05,2.6e-05,0.052163,0.049368,0.049375,0.323837,0.325189,0.325144,0.514929,0.514938,0.514929,2.897176,2.89742,2.897401,110.001372,110.001897,110.001871,113.79005,113.78884,113.78874
