hPa,LBL_g1,LBLg_g1,LBLk_g1,LBL_g2,LBLg_g2,LBLk_g2,LBL_g3,LBLg_g3,LBLk_g3,LBL_g4,LBLg_g4,LBLk_g4,LBL_g5,LBLg_g5,LBLk_g5,LBL_g6,LBLg_g6,LBLk_g6,LBL_tot,LBLg_tot,LBLk_tot
549.3875,0.0,0.0,0.0,2.996e-05,0.0,0.0,0.00062479,1.102e-05,1.116e-05,0.00160374,0.00067993,0.00067865,0.01986332,0.02130703,0.02130851,0.01093865,0.00994254,0.00999858,0.03306047,0.03194052,0.0319969
573.1625,0.0,0.0,0.0,2.759e-05,0.0,0.0,0.00059585,7.54e-06,7.64e-06,0.00136787,0.00051501,0.00051441,0.01953064,0.02114542,0.02114179,0.01124988,0.01027767,0.010333,0.03277184,0.03194563,0.03199683
596.9375,0.0,0.0,0.0,2.544e-05,0.0,0.0,0.00056877,5.19e-06,5.26e-06,0.00116509,0.00038834,0.00038843,0.01916578,0.02093734,0.02092498,0.01154969,0.01060767,0.01065603,0.03247475,0.03193853,0.03197471
620.7125,0.0,0.0,0.0,2.347e-05,0.0,0.0,0.00054331,3.59e-06,3.65e-06,0.00099125,0.00029164,0.00029224,0.01877375,0.0206871,0.02066391,0.0118375,0.01093205,0.01096777,0.03216928,0.03191438,0.03192757
644.4875,0.0,0.0,0.0,2.167e-05,0.0,0.0,0.0005193,2.49e-06,2.54e-06,0.00084263,0.00021822,0.00021868,0.01835873,0.02039846,0.02037381,0.01211252,0.01125011,0.01128771,0.03185485,0.03186928,0.03188274
668.2625,0.0,0.0,0.0,2.003e-05,0.0,0.0,0.00049654,1.74e-06,1.77e-06,0.00071579,0.00016272,0.00016299,0.01792229,0.02007269,0.02005498,0.01237251,0.01155975,0.01161031,0.03152716,0.0317969,0.03183006
692.0375,0.0,0.0,0.0,1.853e-05,0.0,0.0,0.00047504,1.23e-06,1.25e-06,0.00060797,0.00012098,0.00012125,0.01747242,0.01971795,0.01970417,0.01261999,0.01186325,0.01192113,0.03119394,0.0317034,0.0317478
715.8125,0.0,0.0,0.0,1.715e-05,0.0,0.0,0.00045475,8.7e-07,8.8e-07,0.00051649,8.972e-05,9.002e-05,0.0170127,0.01933806,0.01932603,0.01285516,0.01216074,0.01222081,0.03085626,0.03158938,0.03163775
739.5875,0.0,0.0,0.0,1.59e-05,0.0,0.0,0.00043561,6.2e-07,6.3e-07,0.00043903,6.638e-05,6.672e-05,0.01654638,0.01893664,0.0189248,0.01307841,0.01245252,0.01251007,0.03051533,0.03145615,0.03150222
763.3625,0.0,0.0,0.0,1.475e-05,0.0,0.0,0.00041756,4.4e-07,4.5e-07,0.00037354,4.901e-05,4.935e-05,0.01607633,0.01851706,0.01850433,0.01329013,0.01273886,0.01278962,0.0301723,0.03130536,0.03134375
787.1375,0.0,0.0,0.0,1.371e-05,0.0,0.0,0.00040053,3.2e-07,3.2e-07,0.00031824,3.611e-05,3.644e-05,0.01560499,0.01808239,0.01806805,0.01349059,0.01301994,0.01305999,0.02982806,0.03113876,0.0311648
810.9125,0.0,0.0,0.0,1.275e-05,0.0,0.0,0.00038445,2.3e-07,2.3e-07,0.00027158,2.657e-05,2.68e-05,0.01513435,0.01763537,0.01762251,0.01367974,0.01329564,0.01334193,0.02948286,0.03095781,0.03099148
834.6875,0.0,0.0,0.0,1.186e-05,0.0,0.0,0.00036916,1.7e-07,1.7e-07,0.00023221,1.952e-05,1.968e-05,0.01466579,0.01717839,0.01716755,0.01385661,0.01356498,0.01362215,0.02913562,0.03076306,0.03080956
858.4625,0.0,0.0,0.0,1.104e-05,0.0,0.0,0.00035442,1.2e-07,1.2e-07,0.00019896,1.432e-05,1.445e-05,0.01419986,0.01671337,0.01670367,0.01401863,0.01382551,0.01388932,0.02878292,0.03055333,0.03060756
882.2375,0.0,0.0,0.0,1.028e-05,0.0,0.0,0.00033998,9e-08,9e-08,0.00017082,1.05e-05,1.06e-05,0.01373658,0.01624202,0.01623279,0.01416194,0.01407353,0.01413985,0.0284196,0.03032614,0.03038333
906.0125,0.0,0.0,0.0,9.55e-06,0.0,0.0,0.00032571,6e-08,7e-08,0.00014698,7.69e-06,7.77e-06,0.01327648,0.01576632,0.01575705,0.01428434,0.0143068,0.01437153,0.02804305,0.03008087,0.03013641
929.7875,0.0,0.0,0.0,8.88e-06,0.0,0.0,0.00031174,5e-08,5e-08,0.00012678,5.63e-06,5.7e-06,0.01282145,0.01528877,0.01527907,0.014388,0.01452703,0.01458618,0.02765685,0.02982147,0.029871
953.5625,0.0,0.0,0.0,8.25e-06,0.0,0.0,0.00029836,4e-08,4e-08,0.00010969,4.12e-06,4.17e-06,0.01237392,0.01481187,0.01480145,0.01447763,0.01473831,0.01478815,0.02726784,0.02955433,0.02959381
977.3375,0.0,0.0,0.0,7.68e-06,0.0,0.0,0.0002857,3e-08,3e-08,9.524e-05,3.01e-06,3.06e-06,0.01193573,0.01433759,0.0143262,0.01455704,0.014944,0.01498112,0.02688139,0.02928463,0.0293104
1001.1125,0.0,0.0,0.0,7.16e-06,0.0,0.0,0.00027383,2e-08,2e-08,8.301e-05,2.2e-06,2.24e-06,0.01150789,0.01386735,0.01385493,0.01462833,0.01514591,0.01516844,0.02650022,0.02901548,0.02902562
