hPa,LBL_g1,LBLg_g1,PAR_g1,LBL_g2,LBLg_g2,PAR_g2,LBL_g3,LBLg_g3,PAR_g3,LBL_g4,LBLg_g4,PAR_g4,LBL_g5,LBLg_g5,PAR_g5,LBL_g6,LBLg_g6,PAR_g6,LBL_g7,LBLg_g7,PAR_g7,LBL_g8,LBLg_g8,PAR_g8,LBL_g9,LBLg_g9,PAR_g9,LBL_g10,LBLg_g10,PAR_g10,LBL_tot,LBLg_tot,PAR_tot,LBLg - LBL,PAR - LBL
0.4651,0.00352006,0.00340631,0.00340916,0.00156999,0.00145341,0.00145442,0.00090301,0.00057088,0.00057135,0.00029036,0.00018352,0.0001837,4.677e-05,3.34e-05,3.344e-05,2.733e-05,1.967e-05,1.97e-05,1.506e-05,1.096e-05,1.097e-05,7.72e-06,6.5e-06,6.51e-06,3.66e-06,3.38e-06,3.38e-06,3.27e-06,3.11e-06,3.12e-06,0.00638723,0.00569116,0.00569577,-0.00069607,-0.00069146
0.6524,0.0034626,0.00335432,0.00335748,0.0015908,0.00147318,0.00147342,0.00091825,0.00058124,0.00058167,0.00030186,0.00019056,0.00019082,4.916e-05,3.501e-05,3.509e-05,2.909e-05,2.083e-05,2.09e-05,1.621e-05,1.171e-05,1.176e-05,8.35e-06,7e-06,7.04e-06,3.98e-06,3.67e-06,3.7e-06,3.63e-06,3.45e-06,3.49e-06,0.00638392,0.00568098,0.00568535,-0.00070294,-0.00069857
0.9151,0.00341425,0.00331151,0.00331477,0.00160673,0.00148855,0.00148844,0.00093075,0.00058989,0.00059032,0.00031147,0.00019651,0.00019682,5.121e-05,3.639e-05,3.649e-05,3.061e-05,2.183e-05,2.192e-05,1.721e-05,1.237e-05,1.243e-05,8.9e-06,7.44e-06,7.5e-06,4.27e-06,3.93e-06,3.97e-06,3.95e-06,3.76e-06,3.81e-06,0.00637937,0.00567218,0.00567646,-0.00070719,-0.00070291
1.2836,0.00340203,0.00330381,0.00330695,0.00160825,0.00149064,0.0014908,0.00093226,0.00059176,0.0005922,0.00031274,0.00019766,0.00019794,5.151e-05,3.666e-05,3.674e-05,3.082e-05,2.202e-05,2.209e-05,1.734e-05,1.248e-05,1.253e-05,8.98e-06,7.51e-06,7.56e-06,4.31e-06,3.97e-06,4e-06,4e-06,3.8e-06,3.84e-06,0.00637223,0.00567031,0.00567464,-0.00070192,-0.00069759
1.8006,0.00342145,0.00332775,0.00333081,0.00159673,0.00148085,0.00148105,0.00092366,0.00058755,0.00058803,0.00030631,0.00019446,0.00019475,5.017e-05,3.591e-05,3.6e-05,2.981e-05,2.145e-05,2.152e-05,1.666e-05,1.209e-05,1.214e-05,8.61e-06,7.24e-06,7.28e-06,4.12e-06,3.8e-06,3.83e-06,3.78e-06,3.59e-06,3.63e-06,0.00636128,0.0056747,0.00567904,-0.00068658,-0.00068224
2.5257,0.00344437,0.00335758,0.00336071,0.0015815,0.00146798,0.00146806,0.00091285,0.00058241,0.00058286,0.00029835,0.00019057,0.00019084,4.855e-05,3.502e-05,3.51e-05,2.859e-05,2.077e-05,2.084e-05,1.585e-05,1.163e-05,1.168e-05,8.17e-06,6.91e-06,6.95e-06,3.89e-06,3.6e-06,3.63e-06,3.53e-06,3.35e-06,3.39e-06,0.00634565,0.00567982,0.00568405,-0.00066583,-0.0006616
3.5428,0.00346028,0.00338442,0.00338739,0.00156564,0.00145507,0.00145518,0.00090238,0.00057816,0.00057868,0.00029084,0.00018722,0.00018754,4.708e-05,3.426e-05,3.435e-05,2.748e-05,2.019e-05,2.026e-05,1.512e-05,1.123e-05,1.128e-05,7.78e-06,6.62e-06,6.67e-06,3.69e-06,3.43e-06,3.46e-06,3.3e-06,3.14e-06,3.18e-06,0.0063236,0.00568373,0.00568799,-0.00063987,-0.00063561
4.9695,0.00346365,0.00340439,0.00340744,0.00155031,0.0014434,0.00144337,0.00089312,0.00057564,0.0005761,0.00028444,0.00018494,0.00018524,4.59e-05,3.376e-05,3.384e-05,2.658e-05,1.978e-05,1.985e-05,1.452e-05,1.093e-05,1.098e-05,7.47e-06,6.41e-06,6.45e-06,3.53e-06,3.29e-06,3.32e-06,3.13e-06,2.97e-06,3.01e-06,0.00629265,0.00568551,0.00568961,-0.00060714,-0.00060304
6.9709,0.00344833,0.00341321,0.00341595,0.00153682,0.00143442,0.00143451,0.0008859,0.0005758,0.00057642,0.00027978,0.00018429,0.00018467,4.513e-05,3.363e-05,3.374e-05,2.599e-05,1.963e-05,1.971e-05,1.411e-05,1.079e-05,1.085e-05,7.26e-06,6.29e-06,6.33e-06,3.43e-06,3.21e-06,3.24e-06,3.02e-06,2.87e-06,2.91e-06,0.00624977,0.00568415,0.00568833,-0.00056562,-0.00056144
9.7781,0.00340936,0.00340775,0.00341054,0.00152578,0.00142902,0.00142903,0.00088107,0.00057942,0.00057996,0.00027716,0.00018567,0.000186,4.485e-05,3.397e-05,3.407e-05,2.573e-05,1.979e-05,1.987e-05,1.391e-05,1.084e-05,1.09e-05,7.18e-06,6.28e-06,6.32e-06,3.39e-06,3.19e-06,3.22e-06,2.97e-06,2.83e-06,2.86e-06,0.00619139,0.00567875,0.00568277,-0.00051264,-0.00050862
13.7158,0.00334249,0.0033852,0.00338746,0.00151731,0.00142766,0.00142795,0.00087874,0.00058723,0.00058798,0.00027671,0.00018945,0.0001899,4.508e-05,3.487e-05,3.5e-05,2.582e-05,2.032e-05,2.041e-05,1.392e-05,1.11e-05,1.117e-05,7.21e-06,6.39e-06,6.43e-06,3.42e-06,3.23e-06,3.27e-06,3e-06,2.85e-06,2.89e-06,0.0061137,0.00566829,0.00567246,-0.00044541,-0.00044124
19.2394,0.00324139,0.00333935,0.00334158,0.00151279,0.001432,0.00143231,0.0008798,0.00060064,0.00060131,0.00027918,0.00019645,0.00019685,4.602e-05,3.653e-05,3.665e-05,2.64e-05,2.134e-05,2.143e-05,1.421e-05,1.165e-05,1.171e-05,7.41e-06,6.66e-06,6.7e-06,3.53e-06,3.36e-06,3.39e-06,3.11e-06,2.96e-06,2.99e-06,0.00601385,0.00565094,0.00565493,-0.00036291,-0.00035892
26.9872,0.00309784,0.00325867,0.00326018,0.00151603,0.00144582,0.00144653,0.00088655,0.00062215,0.00062307,0.00028636,0.00020822,0.00020876,4.806e-05,3.933e-05,3.949e-05,2.771e-05,2.31e-05,2.321e-05,1.494e-05,1.262e-05,1.27e-05,7.85e-06,7.17e-06,7.22e-06,3.77e-06,3.62e-06,3.65e-06,3.36e-06,3.19e-06,3.23e-06,0.00589248,0.00562391,0.00562804,-0.00026857,-0.00026444
37.8553,0.00291065,0.00313416,0.00313544,0.00152943,0.00147142,0.00147224,0.0009006,0.00065386,0.00065473,0.00029962,0.0002261,0.00022662,5.151e-05,4.363e-05,4.379e-05,2.998e-05,2.584e-05,2.596e-05,1.624e-05,1.417e-05,1.424e-05,8.61e-06,8e-06,8.06e-06,4.18e-06,4.05e-06,4.08e-06,3.78e-06,3.59e-06,3.63e-06,0.00575461,0.00558483,0.00558878,-0.00016978,-0.00016583
53.1,0.00268634,0.00296113,0.00296164,0.00155315,0.00150865,0.00150971,0.00092261,0.00069708,0.00069806,0.00031969,0.00025103,0.00025167,5.666e-05,4.976e-05,4.997e-05,3.339e-05,2.978e-05,2.992e-05,1.82e-05,1.639e-05,1.649e-05,9.75e-06,9.22e-06,9.28e-06,4.79e-06,4.68e-06,4.71e-06,4.41e-06,4.19e-06,4.23e-06,0.005609,0.00553191,0.00553568,-7.709e-05,-7.332e-05
73.8875,0.00243672,0.00273773,0.00273743,0.00158815,0.00155716,0.00155839,0.00095407,0.00075231,0.00075334,0.00034783,0.00028378,0.00028452,6.387e-05,5.807e-05,5.833e-05,3.817e-05,3.514e-05,3.532e-05,2.096e-05,1.944e-05,1.955e-05,1.135e-05,1.09e-05,1.097e-05,5.65e-06,5.55e-06,5.59e-06,5.29e-06,5.02e-06,5.07e-06,0.00547205,0.0054651,0.00546851,-6.95e-06,-3.54e-06
97.6625,0.00220384,0.00250103,0.00250129,0.00162836,0.00160803,0.00160889,0.00099121,0.00081065,0.00081111,0.00038059,0.00031958,0.00032002,7.23e-05,6.747e-05,6.766e-05,4.379e-05,4.124e-05,4.138e-05,2.421e-05,2.292e-05,2.302e-05,1.323e-05,1.284e-05,1.29e-05,6.65e-06,6.57e-06,6.61e-06,6.32e-06,6e-06,6.05e-06,0.00537048,0.00539633,0.00539893,2.585e-05,2.845e-05
121.4375,0.00201125,0.0022869,0.0022866,0.00166527,0.00165218,0.00165317,0.00102825,0.00086385,0.00086438,0.00041308,0.00035346,0.000354,8.075e-05,7.667e-05,7.69e-05,4.944e-05,4.724e-05,4.741e-05,2.749e-05,2.637e-05,2.648e-05,1.513e-05,1.478e-05,1.486e-05,7.67e-06,7.59e-06,7.64e-06,7.37e-06,7e-06,7.05e-06,0.0053057,0.00533606,0.00533851,3.036e-05,3.281e-05
145.2125,0.00184982,0.00209761,0.0020965,0.00169788,0.00168974,0.00169086,0.00106475,0.00091229,0.00091325,0.00044479,0.00038532,0.00038622,8.912e-05,8.56e-05,8.594e-05,5.505e-05,5.31e-05,5.334e-05,3.076e-05,2.975e-05,2.99e-05,1.702e-05,1.67e-05,1.679e-05,8.68e-06,8.61e-06,8.66e-06,8.42e-06,8e-06,8.06e-06,0.00526628,0.00528672,0.00528952,2.044e-05,2.324e-05
168.9875,0.00177711,0.00200448,0.00200372,0.00179575,0.00179095,0.00179174,0.00114553,0.00099564,0.00099636,0.00049539,0.0004326,0.00043341,0.00010144,9.818e-05,9.851e-05,6.314e-05,6.127e-05,6.151e-05,3.543e-05,3.444e-05,3.459e-05,1.969e-05,1.937e-05,1.947e-05,1.01e-05,1.002e-05,1.008e-05,9.87e-06,9.38e-06,9.44e-06,0.00545344,0.00545632,0.00545882,2.88e-06,5.38e-06
192.7625,0.00248583,0.00278821,0.00278836,0.00278189,0.00278103,0.0027826,0.00181262,0.00159279,0.0015941,0.00080951,0.00071088,0.00071193,0.00016902,0.00016451,0.00016489,0.00010597,0.00010329,0.00010356,5.974e-05,5.83e-05,5.846e-05,3.336e-05,3.288e-05,3.298e-05,1.719e-05,1.707e-05,1.713e-05,1.692e-05,1.607e-05,1.613e-05,0.00829205,0.00826505,0.00827014,-2.7e-05,-2.191e-05
216.5375,0.00567347,0.00634323,0.00634021,0.00735562,0.00739525,0.00739495,0.00495943,0.00439785,0.00439879,0.00228536,0.00201557,0.00201871,0.0004858,0.00047497,0.00047653,0.00030676,0.00030009,0.00030124,0.00017383,0.00017018,0.0001709,9.752e-05,9.63e-05,9.68e-05,5.047e-05,5.016e-05,5.046e-05,5.002e-05,4.752e-05,4.785e-05,0.02143829,0.02129112,0.02129645,-0.00014717,-0.00014184
240.3125,0.00964584,0.01068682,0.01068427,0.01597866,0.0162742,0.01627461,0.0114632,0.01024908,0.01024787,0.00545752,0.00482792,0.00483208,0.00118025,0.00115751,0.00116011,0.00075014,0.00073569,0.00073769,0.00042715,0.00041912,0.00042044,0.00024073,0.00023802,0.00023902,0.00012506,0.00012437,0.000125,0.00012475,0.00011852,0.00011924,0.0453933,0.04483125,0.04484032,-0.00056205,-0.00055298
264.0875,0.01178954,0.0124323,0.01242968,0.02880289,0.03003022,0.03001974,0.02306078,0.02080365,0.02079081,0.01140418,0.01011065,0.01011558,0.00250927,0.0024655,0.00247063,0.00160464,0.00157605,0.00158025,0.00091784,0.00090175,0.00090462,0.00051948,0.00051403,0.00051638,0.00027082,0.00026942,0.00027092,0.00027171,0.00025814,0.00025993,0.08115116,0.0793617,0.07935854,-0.00178946,-0.00179262
287.8625,0.00989157,0.00892877,0.008926,0.04283126,0.04617806,0.04614668,0.04111372,0.03753275,0.03749785,0.02135824,0.01897207,0.01898126,0.00478698,0.00470729,0.00471872,0.00307959,0.00302639,0.00303586,0.00176908,0.00173882,0.00174527,0.00100539,0.00099511,0.0010005,0.00052582,0.00052315,0.00052662,0.00053033,0.00050384,0.00050801,0.12689197,0.12310625,0.12308675,-0.00378572,-0.00380522
311.6375,0.00495443,0.00322879,0.00323006,0.04536347,0.05045955,0.05046777,0.0560454,0.05197612,0.05194457,0.03101872,0.02760935,0.02760448,0.00709446,0.00697574,0.00698049,0.00459165,0.00451118,0.00451601,0.0026488,0.00260259,0.00260654,0.00151133,0.00149568,0.00149996,0.00079279,0.0007887,0.00079174,0.0008035,0.00076339,0.00076732,0.15482455,0.15041108,0.15040895,-0.00441347,-0.0044156
335.4125,0.00185669,0.00072973,0.00072971,0.04124225,0.04631008,0.04628126,0.06886763,0.06511558,0.06504755,0.04116898,0.03672925,0.03672645,0.00962776,0.00945852,0.00947207,0.00626974,0.00615386,0.00616644,0.00363199,0.0035649,0.003574,0.00208036,0.00205771,0.00206654,0.00109436,0.00108843,0.00109447,0.00111421,0.00105863,0.00106623,0.17695396,0.17226669,0.17222472,-0.00468727,-0.00472924
359.1875,0.00055342,0.00010955,0.00010953,0.03464655,0.0377652,0.03774196,0.08125086,0.07862997,0.07853841,0.05326812,0.04766371,0.04766022,0.0127693,0.01252599,0.01254618,0.00836916,0.00820132,0.00822005,0.00486875,0.00477079,0.00478412,0.00279945,0.00276648,0.00277949,0.00147661,0.00146798,0.00147693,0.00150985,0.00143462,0.00144592,0.20151207,0.1953356,0.19530283,-0.00617647,-0.00620924
382.9625,0.0001274,1.042e-05,1.041e-05,0.02695228,0.02697303,0.02698459,0.09200501,0.09150794,0.0914443,0.06732895,0.06048647,0.06047215,0.01659851,0.01624929,0.01626203,0.01095378,0.01071108,0.01072438,0.00640042,0.00625753,0.00626785,0.00369426,0.00364623,0.00365818,0.00195367,0.00194115,0.00194989,0.00200581,0.00190601,0.00191758,0.22802008,0.21968916,0.21969136,-0.00833092,-0.00832872
406.7375,2.216e-05,6e-07,6e-07,0.0193911,0.01659042,0.01660481,0.09988165,0.10247227,0.1024257,0.08319724,0.07515468,0.0751248,0.02118012,0.02068442,0.02068986,0.0140823,0.01373443,0.01374298,0.00826682,0.00805997,0.00806788,0.00479009,0.00472056,0.00473249,0.0025397,0.00252164,0.00253098,0.00261768,0.00248768,0.00250064,0.25596886,0.24642666,0.24642075,-0.0095422,-0.00954811
430.5125,2.88e-06,2e-08,2e-08,0.01286307,0.00863141,0.00863442,0.10393062,0.11022247,0.11012257,0.10058757,0.09154586,0.09150193,0.02657554,0.02588411,0.0259035,0.0178169,0.01732509,0.01734809,0.01051178,0.01021596,0.01023392,0.00611529,0.00601564,0.00603855,0.00325063,0.00322482,0.00324196,0.00336309,0.00319648,0.00321954,0.28501738,0.27626185,0.2762445,-0.00875553,-0.00877288
454.2875,2.8e-07,0.0,0.0,0.00772934,0.00368312,0.00368847,0.10177399,0.11147894,0.11139542,0.11665595,0.10720999,0.10715731,0.03216322,0.03123852,0.03126105,0.02176385,0.02109409,0.02112152,0.01291078,0.01250257,0.01252404,0.00754217,0.00740412,0.00743245,0.00401947,0.0039838,0.00400525,0.00417381,0.00396768,0.00399683,0.30873286,0.30256283,0.30258235,-0.00617003,-0.00615051
478.0625,2e-08,0.0,0.0,0.00431067,0.00130602,0.00131038,0.09562385,0.10766061,0.10764648,0.13189789,0.12270337,0.12265436,0.03816994,0.0369686,0.03698211,0.0260975,0.02520691,0.02522661,0.01557448,0.01502344,0.01504027,0.00913788,0.00895051,0.00897659,0.00488273,0.00483438,0.00485509,0.00508848,0.00483813,0.00486727,0.33078344,0.32749199,0.32755916,-0.00329145,-0.00322428
501.8375,0.0,0.0,0.0,0.00226548,0.00038392,0.00038579,0.08724383,0.1000735,0.10014663,0.14686868,0.13867238,0.13864321,0.04489437,0.04336597,0.04335893,0.03105489,0.02988836,0.02988789,0.01865588,0.01792159,0.01792532,0.01099634,0.01074492,0.0107601,0.00589178,0.00582697,0.00584102,0.00616194,0.0058602,0.00588205,0.3540332,0.35273781,0.35283094,-0.00129539,-0.00120226
