hPa,LBL_g1,LBLg_g1,PAR_g1,LBL_g2,LBLg_g2,PAR_g2,LBL_g3,LBLg_g3,PAR_g3,LBL_g4,LBLg_g4,PAR_g4,LBL_g5,LBLg_g5,PAR_g5,LBL_g6,LBLg_g6,PAR_g6,LBL_g7,LBLg_g7,PAR_g7,LBL_g8,LBLg_g8,PAR_g8,LBL_g9,LBLg_g9,PAR_g9,LBL_g10,LBLg_g10,PAR_g10,LBL_tot,LBLg_tot,PAR_tot,LBLg - LBL,PAR - LBL
787.1375,0.0,0.0,0.0,0.00029639,1.15e-06,1.17e-06,0.0307902,0.03479663,0.0348505,0.12156921,0.12605252,0.12606904,0.05316257,0.0493188,0.04932196,0.03992294,0.0362814,0.03628879,0.02491488,0.02244031,0.02244956,0.01505298,0.01418637,0.01420817,0.00818096,0.00796234,0.00798207,0.00874326,0.00833086,0.0083608,0.3026334,0.29937039,0.29953206,-0.00326301,-0.00310134
810.9125,0.0,0.0,0.0,0.00019045,2.8e-07,2.9e-07,0.02559075,0.02744897,0.0274875,0.1160994,0.12310969,0.12312577,0.05395446,0.05009861,0.0501019,0.04114169,0.03729363,0.0373025,0.02588607,0.02321399,0.02322466,0.01571384,0.01476935,0.01479613,0.00856108,0.00832189,0.00834616,0.00917378,0.00874469,0.00878207,0.29631151,0.2930011,0.29316697,-0.00331041,-0.00314454
834.6875,0.0,0.0,0.0,0.00012312,7e-08,7e-08,0.0212352,0.02134782,0.02137231,0.1097893,0.11898841,0.11899735,0.05419938,0.05039634,0.05039871,0.04198413,0.03796998,0.03798102,0.02663908,0.02378871,0.02380165,0.01624901,0.015232,0.01526758,0.00887468,0.00861608,0.00864828,0.0095349,0.00909285,0.00914299,0.28862879,0.28543226,0.28560997,-0.00319653,-0.00301882
858.4625,0.0,0.0,0.0,8.015e-05,2e-08,2e-08,0.01760726,0.01639949,0.01641768,0.10283952,0.11381775,0.11382465,0.05387973,0.05019063,0.05019333,0.04241233,0.03827761,0.03829056,0.0271418,0.02413819,0.02415288,0.01663606,0.01555432,0.01559547,0.00910872,0.00883252,0.00886971,0.00981172,0.00936104,0.00941929,0.27951729,0.27657155,0.27676359,-0.00294574,-0.0027537
882.2375,0.0,0.0,0.0,5.271e-05,0.0,0.0,0.01462775,0.01249519,0.01251075,0.0956634,0.1080039,0.10801268,0.05312003,0.04959055,0.04959475,0.04249908,0.03828252,0.03829715,0.0274318,0.02429776,0.02431374,0.01689466,0.01575561,0.01579917,0.00927301,0.00898097,0.00902024,0.01001378,0.00955825,0.00961994,0.26957622,0.26696475,0.26716842,-0.00261147,-0.0024078
906.0125,0.0,0.0,0.0,3.489e-05,0.0,0.0,0.01211767,0.009414,0.00942821,0.0879351,0.10115071,0.10116414,0.05165914,0.0483442,0.04835088,0.04200805,0.03777204,0.03778807,0.02734679,0.02412593,0.02414261,0.01692136,0.01574049,0.01578314,0.00930977,0.00900577,0.00904405,0.01007766,0.00962377,0.00968393,0.25741043,0.2551769,0.25538502,-0.00223353,-0.00202541
929.7875,0.0,0.0,0.0,2.33e-05,0.0,0.0,0.01001597,0.0070337,0.0070468,0.07990496,0.09351742,0.09353699,0.04954728,0.04648924,0.046499,0.04094518,0.03675317,0.03677019,0.02687906,0.02361976,0.02363653,0.01670766,0.01550271,0.01554139,0.00921329,0.00890186,0.0089363,0.00999617,0.0095505,0.00960448,0.24323288,0.24136837,0.24157168,-0.00186451,-0.0016612
953.5625,0.0,0.0,0.0,1.592e-05,0.0,0.0,0.00837025,0.00528987,0.00530185,0.07275701,0.08651695,0.08654309,0.0474984,0.04469096,0.04470406,0.0398808,0.0357401,0.03575775,0.02639685,0.02310609,0.02312247,0.01648076,0.01525439,0.01528694,0.00910843,0.0087902,0.0088188,0.00990438,0.00946729,0.0095118,0.23041278,0.22885584,0.22904676,-0.00155694,-0.00136602
977.3375,0.0,0.0,0.0,1.111e-05,0.0,0.0,0.00707016,0.00400669,0.00401745,0.0664246,0.08015097,0.0801833,0.04554521,0.04298101,0.04299734,0.03884578,0.03476148,0.03477924,0.02592197,0.02260473,0.02262022,0.01625499,0.01500903,0.01503367,0.00900331,0.00867871,0.00869982,0.00981138,0.00938284,0.00941513,0.21888852,0.21757546,0.21774617,-0.00131306,-0.00114235
1001.1125,0.0,0.0,0.0,7.91e-06,0.0,0.0,0.00603019,0.00305551,0.00306484,0.06079542,0.07435277,0.07439015,0.04368236,0.04135463,0.04137389,0.03783941,0.03381683,0.03383442,0.02545503,0.0221164,0.02213075,0.0160312,0.0147675,0.01478359,0.00889856,0.00856801,0.00858104,0.009718,0.00929793,0.00931699,0.20845808,0.20732958,0.20747567,-0.0011285,-0.00098241
