hPa,LBL_g1,LBLg_g1,LBLk_g1,LBL_g2,LBLg_g2,LBLk_g2,LBL_g3,LBLg_g3,LBLk_g3,LBL_g4,LBLg_g4,LBLk_g4,LBL_g5,LBLg_g5,LBLk_g5,LBL_g6,LBLg_g6,LBLk_g6,LBL_g7,LBLg_g7,LBLk_g7,LBL_g8,LBLg_g8,LBLk_g8,LBL_g9,LBLg_g9,LBLk_g9,LBL_g10,LBLg_g10,LBLk_g10,LBL_tot,LBLg_tot,LBLk_tot
97.6625,0.00220384,0.00250103,0.00249974,0.00162836,0.00160803,0.0016076,0.00099121,0.00081065,0.00081045,0.00038059,0.00031958,0.00031976,7.23e-05,6.747e-05,6.761e-05,4.379e-05,4.124e-05,4.134e-05,2.421e-05,2.292e-05,2.3e-05,1.323e-05,1.284e-05,1.289e-05,6.65e-06,6.57e-06,6.6e-06,6.32e-06,6e-06,6.04e-06,0.00537048,0.00539633,0.00539503
121.4375,0.00201125,0.0022869,0.00228528,0.00166527,0.00165218,0.00165186,0.00102825,0.00086385,0.00086367,0.00041308,0.00035346,0.00035371,8.075e-05,7.667e-05,7.684e-05,4.944e-05,4.724e-05,4.737e-05,2.749e-05,2.637e-05,2.646e-05,1.513e-05,1.478e-05,1.485e-05,7.67e-06,7.59e-06,7.63e-06,7.37e-06,7e-06,7.05e-06,0.0053057,0.00533606,0.00533473
145.2125,0.00184982,0.00209761,0.00209538,0.00169788,0.00168974,0.00168952,0.00106475,0.00091229,0.0009125,0.00044479,0.00038532,0.0003859,8.912e-05,8.56e-05,8.587e-05,5.505e-05,5.31e-05,5.33e-05,3.076e-05,2.975e-05,2.987e-05,1.702e-05,1.67e-05,1.678e-05,8.68e-06,8.61e-06,8.66e-06,8.42e-06,8e-06,8.05e-06,0.00526628,0.00528672,0.00528584
168.9875,0.00177711,0.00200448,0.00200273,0.00179575,0.00179095,0.00179033,0.00114553,0.00099564,0.00099555,0.00049539,0.0004326,0.00043305,0.00010144,9.818e-05,9.843e-05,6.314e-05,6.127e-05,6.146e-05,3.543e-05,3.444e-05,3.456e-05,1.969e-05,1.937e-05,1.945e-05,1.01e-05,1.002e-05,1.007e-05,9.87e-06,9.38e-06,9.43e-06,0.00545344,0.00545632,0.00545507
192.7625,0.00248583,0.00278821,0.00278712,0.00278189,0.00278103,0.00278044,0.00181262,0.00159279,0.0015928,0.00080951,0.00071088,0.00071135,0.00016902,0.00016451,0.00016475,0.00010597,0.00010329,0.00010347,5.974e-05,5.83e-05,5.841e-05,3.336e-05,3.288e-05,3.296e-05,1.719e-05,1.707e-05,1.712e-05,1.692e-05,1.607e-05,1.612e-05,0.00829205,0.00826505,0.00826454
216.5375,0.00567347,0.00634323,0.00633804,0.00735562,0.00739525,0.00738933,0.00495943,0.00439785,0.00439522,0.00228536,0.00201557,0.00201705,0.0004858,0.00047497,0.00047614,0.00030676,0.00030009,0.00030099,0.00017383,0.00017018,0.00017076,9.752e-05,9.63e-05,9.672e-05,5.047e-05,5.016e-05,5.042e-05,5.002e-05,4.752e-05,4.781e-05,0.02143829,0.02129112,0.0212825
240.3125,0.00964584,0.01068682,0.01068311,0.01597866,0.0162742,0.01626288,0.0114632,0.01024908,0.0102396,0.00545752,0.00482792,0.00482813,0.00118025,0.00115751,0.00115916,0.00075014,0.00073569,0.00073709,0.00042715,0.00041912,0.0004201,0.00024073,0.00023802,0.00023883,0.00012506,0.00012437,0.00012489,0.00012475,0.00011852,0.00011914,0.0453933,0.04483125,0.04481292
264.0875,0.01178954,0.0124323,0.01243397,0.02880289,0.03003022,0.03000057,0.02306078,0.02080365,0.02077428,0.01140418,0.01011065,0.01010733,0.00250927,0.0024655,0.00246861,0.00160464,0.00157605,0.00157895,0.00091784,0.00090175,0.00090388,0.00051948,0.00051403,0.00051596,0.00027082,0.00026942,0.0002707,0.00027171,0.00025814,0.00025971,0.08115116,0.0793617,0.07931397
287.8625,0.00989157,0.00892877,0.00893614,0.04283126,0.04617806,0.04612431,0.04111372,0.03753275,0.03746889,0.02135824,0.01897207,0.01896585,0.00478698,0.00470729,0.00471486,0.00307959,0.00302639,0.00303338,0.00176908,0.00173882,0.00174384,0.00100539,0.00099511,0.00099968,0.00052582,0.00052315,0.00052619,0.00053033,0.00050384,0.00050759,0.12689197,0.12310625,0.12302072
311.6375,0.00495443,0.00322879,0.00323761,0.04536347,0.05045955,0.05045542,0.0560454,0.05197612,0.05190632,0.03101872,0.02760935,0.02758225,0.00709446,0.00697574,0.0069748,0.00459165,0.00451118,0.00451232,0.0026488,0.00260259,0.00260441,0.00151133,0.00149568,0.00149873,0.00079279,0.0007887,0.00079109,0.0008035,0.00076339,0.00076669,0.15482455,0.15041108,0.15032963
