hPa,LBL_g1,LBLg_g1,PAR_g1,LBL_g2,LBLg_g2,PAR_g2,LBL_g3,LBLg_g3,PAR_g3,LBL_g4,LBLg_g4,PAR_g4,LBL_g5,LBLg_g5,PAR_g5,LBL_g6,LBLg_g6,PAR_g6,LBL_tot,LBLg_tot,PAR_tot,LBLg - LBL,PAR - LBL
299.75,0.0,0.0,0.0,0.017986,5e-05,5.092e-05,0.294417,0.085159,0.08535739,0.502999,0.460298,0.45968519,5.310945,5.354007,5.3526723,219.843297,219.867081,219.86623,225.96964,225.7666,225.76399,-0.20304,-0.20565
323.525,0.0,0.0,0.0,0.017108,3.1e-05,3.159e-05,0.287229,0.069198,0.06937792,0.461046,0.410767,0.41022522,5.24631,5.294603,5.2932002,219.822372,219.849045,219.8481,225.83406,225.62364,225.62093,-0.21042,-0.21313
347.3,0.0,0.0,0.0,0.016309,2e-05,2.003e-05,0.280773,0.056301,0.05648764,0.422109,0.364918,0.36448045,5.179406,5.232815,5.231304,219.800301,219.829993,219.82893,225.6989,225.48405,225.48122,-0.21485,-0.21768
371.075,0.0,0.0,0.0,0.015573,1.3e-05,1.295e-05,0.274866,0.045889,0.046083,0.386106,0.322876,0.32255016,5.110476,5.168808,5.1671882,219.777067,219.809905,219.80871,225.56409,225.34749,225.34455,-0.2166,-0.21954
394.85,0.0,0.0,0.0,0.014891,8e-06,8.53e-06,0.269398,0.037482,0.03766261,0.352911,0.284631,0.28438712,5.039786,5.102795,5.1011208,219.752687,219.788791,219.78749,225.42967,225.21371,225.21067,-0.21596,-0.219
418.625,0.0,0.0,0.0,0.014257,6e-06,5.72e-06,0.264293,0.030688,0.03084756,0.322376,0.250082,0.24990383,4.967583,5.034976,5.0332701,219.727181,219.76666,219.76525,225.29569,225.08241,225.07928,-0.21328,-0.21641
442.4,0.0,0.0,0.0,0.013666,4e-06,3.89e-06,0.259492,0.025191,0.0253388,0.29434,0.21906,0.21896401,4.894094,4.965535,4.9637418,219.700565,219.743522,219.74197,225.16216,224.95331,224.95002,-0.20885,-0.21214
466.175,0.0,0.0,0.0,0.013113,3e-06,2.69e-06,0.254954,0.020734,0.02087027,0.26864,0.191356,0.19132825,4.819532,4.894648,4.8927627,219.672854,219.719382,219.71768,225.02909,224.82612,224.82265,-0.20297,-0.20644
489.95,0.0,0.0,0.0,0.012595,2e-06,1.88e-06,0.250645,0.017113,0.01723363,0.245118,0.166735,0.16674546,4.7441,4.822486,4.8205401,219.644067,219.694251,219.69241,224.89652,224.70059,224.69693,-0.19593,-0.19959
513.725,0.0,0.0,0.0,0.012109,1e-06,1.33e-06,0.246539,0.014164,0.0142653,0.223617,0.14495,0.14496393,4.667989,4.749212,4.7472616,219.614221,219.668136,219.6662,224.76447,224.57646,224.57269,-0.18801,-0.19178
537.5,0.0,0.0,0.0,0.011653,1e-06,9.6e-07,0.242616,0.011757,0.01184554,0.203988,0.12575,0.12579965,4.591379,4.674984,4.6729983,219.583336,219.641048,219.63897,224.63297,224.45354,224.44961,-0.17943,-0.18336
