,hPa,LBL_g1,LBLg_g1,PAR_g1,LBL_g2,LBLg_g2,PAR_g2,LBL_g3,LBLg_g3,PAR_g3,LBL_g4,LBLg_g4,PAR_g4,LBL_g5,LBLg_g5,PAR_g5,LBL_g6,LBLg_g6,PAR_g6,LBL_tot,LBLg_tot,PAR_tot,LBLg - LBL,PAR - LBL
43,264.0875,0.0,0.0,0.0,0.000103,1e-08,1e-08,0.0014543,0.00147267,0.00147227,0.00896451,0.01035647,0.01033258,0.01895312,0.01805985,0.01810024,0.00658969,0.00572774,0.00576492,0.03606462,0.03561674,0.03567002,-0.00044788,-0.0003946
44,287.8625,0.0,0.0,0.0,8.749e-05,0.0,0.0,0.00127303,0.0009726,0.00097234,0.00792442,0.00884552,0.00882228,0.01952728,0.01875328,0.01880194,0.00695231,0.0060584,0.00610385,0.03576453,0.03462981,0.03470042,-0.00113472,-0.00106411
45,311.6375,0.0,0.0,0.0,7.619e-05,0.0,0.0,0.00114257,0.00063983,0.00064207,0.00696296,0.0074146,0.00739327,0.01998754,0.01936731,0.01938219,0.00732353,0.00639974,0.00643151,0.03549281,0.03382148,0.03384904,-0.00167133,-0.00164377
46,335.4125,0.0,0.0,0.0,6.806e-05,0.0,0.0,0.00104998,0.00042033,0.0004213,0.00609055,0.00611186,0.00608957,0.02034962,0.01991526,0.01994224,0.00771245,0.00675968,0.00680088,0.03527065,0.03320714,0.03325399,-0.00206351,-0.00201666
47,359.1875,0.0,0.0,0.0,6.15e-05,0.0,0.0,0.00097709,0.00027635,0.00027713,0.00530952,0.00496942,0.00495007,0.02061375,0.02038377,0.02041,0.00810543,0.00712673,0.00717178,0.03506729,0.03275626,0.03280898,-0.00231103,-0.00225831
48,382.9625,0.0,0.0,0.0,5.578e-05,0.0,0.0,0.00091427,0.00018203,0.00018311,0.00461337,0.00399285,0.00398011,0.02077567,0.02075996,0.02076799,0.00848976,0.00749006,0.00752783,0.03484885,0.03242489,0.03245905,-0.00242396,-0.0023898
49,406.7375,0.0,0.0,0.0,5.072e-05,0.0,0.0,0.00085903,0.00012027,0.00012124,0.00399644,0.00317482,0.00316588,0.02084628,0.02105008,0.0210504,0.00886524,0.00784967,0.00788516,0.03461771,0.03219484,0.03222269,-0.00242287,-0.00239502
50,430.5125,0.0,0.0,0.0,4.624e-05,0.0,0.0,0.00080995,7.978e-05,8.037e-05,0.0034526,0.00250113,0.00249274,0.02083717,0.02126182,0.02127844,0.00923281,0.00820655,0.00825586,0.03437877,0.03204928,0.03210742,-0.00232949,-0.00227135
51,454.2875,0.0,0.0,0.0,4.225e-05,0.0,0.0,0.00076587,5.316e-05,5.362e-05,0.00297505,0.00195402,0.00194838,0.02075635,0.02139982,0.02141714,0.00959215,0.00856054,0.00861351,0.03413166,0.03196754,0.03203265,-0.00216412,-0.00209901
52,478.0625,0.0,0.0,0.0,3.867e-05,0.0,0.0,0.00072592,3.559e-05,3.598e-05,0.00255733,0.00151515,0.00151256,0.02061149,0.02146873,0.02147573,0.00994287,0.00891143,0.00895896,0.03387629,0.0319309,0.03198322,-0.00194539,-0.00189307
53,501.8375,0.0,0.0,0.0,3.547e-05,0.0,0.0,0.00068943,2.395e-05,2.428e-05,0.00219331,0.0011669,0.00116667,0.02040989,0.02147318,0.02146337,0.01028454,0.00925897,0.00929384,0.03361264,0.031923,0.03194815,-0.00168964,-0.00166449
54,525.6125,0.0,0.0,0.0,3.258e-05,0.0,0.0,0.00065586,1.62e-05,1.641e-05,0.00187724,0.0008932,0.00089164,0.02015837,0.02141777,0.0214163,0.01061666,0.00960282,0.0096515,0.03334072,0.03192999,0.03197585,-0.00141073,-0.00136487
55,549.3875,0.0,0.0,0.0,2.996e-05,0.0,0.0,0.00062479,1.102e-05,1.116e-05,0.00160374,0.00067993,0.00067857,0.01986332,0.02130703,0.02130598,0.01093865,0.00994254,0.0099974,0.03306047,0.03194052,0.03199311,-0.00111995,-0.00106736
56,573.1625,0.0,0.0,0.0,2.759e-05,0.0,0.0,0.00059585,7.54e-06,7.64e-06,0.00136787,0.00051501,0.00051435,0.01953064,0.02114542,0.02113928,0.01124988,0.01027767,0.01033177,0.03277184,0.03194563,0.03199304,-0.00082621,-0.0007788
57,596.9375,0.0,0.0,0.0,2.544e-05,0.0,0.0,0.00056877,5.19e-06,5.26e-06,0.00116509,0.00038834,0.00038838,0.01916578,0.02093734,0.0209225,0.01154969,0.01060767,0.01065477,0.03247475,0.03193853,0.03197092,-0.00053622,-0.00050383
58,620.7125,0.0,0.0,0.0,2.347e-05,0.0,0.0,0.00054331,3.59e-06,3.65e-06,0.00099125,0.00029164,0.0002922,0.01877375,0.0206871,0.02066146,0.0118375,0.01093205,0.01096647,0.03216928,0.03191438,0.03192378,-0.0002549,-0.0002455
59,644.4875,0.0,0.0,0.0,2.167e-05,0.0,0.0,0.0005193,2.49e-06,2.54e-06,0.00084263,0.00021822,0.00021866,0.01835873,0.02039846,0.02037139,0.01211252,0.01125011,0.01128637,0.03185485,0.03186928,0.03187896,1.443e-05,2.411e-05
60,668.2625,0.0,0.0,0.0,2.003e-05,0.0,0.0,0.00049654,1.74e-06,1.77e-06,0.00071579,0.00016272,0.00016297,0.01792229,0.02007269,0.02005261,0.01237251,0.01155975,0.01160893,0.03152716,0.0317969,0.03182629,0.00026974,0.00029913
61,692.0375,0.0,0.0,0.0,1.853e-05,0.0,0.0,0.00047504,1.23e-06,1.25e-06,0.00060797,0.00012098,0.00012124,0.01747242,0.01971795,0.01970184,0.01261999,0.01186325,0.01191972,0.03119394,0.0317034,0.03174404,0.00050946,0.0005501
