,hPa,LBL_g1,LBLg_g1,PAR_g1,LBL_g2,LBLg_g2,PAR_g2,LBL_g3,LBLg_g3,PAR_g3,LBL_g4,LBLg_g4,PAR_g4,LBL_g5,LBLg_g5,PAR_g5,LBL_g6,LBLg_g6,PAR_g6,LBL_tot,LBLg_tot,PAR_tot,LBLg - LBL,PAR - LBL
26,3.5428,0.01666546,0.01595782,0.01595984,0.02693648,0.02867107,0.02865853,0.01300532,0.01190721,0.01193871,0.00077793,0.00077465,0.00078216,0.00143684,0.00125171,0.00126598,0.00272916,0.00232516,0.00234444,0.06155119,0.06088762,0.06094964,-0.00066357,-0.00060155
27,4.9695,0.00967474,0.00677271,0.00677733,0.0243426,0.02686685,0.02684151,0.01297875,0.01204804,0.01206925,0.00104289,0.00103835,0.00104211,0.00152863,0.00135887,0.00137072,0.00260884,0.00222443,0.00224314,0.05217645,0.05030925,0.05034406,-0.0018672,-0.00183239
28,6.9709,0.00493094,0.00205708,0.00206131,0.02160181,0.02473394,0.0247364,0.01323398,0.01243195,0.01247418,0.00142331,0.00141592,0.00142822,0.00170727,0.0015439,0.0015615,0.00252074,0.00215147,0.00217194,0.04541805,0.04433426,0.04443354,-0.00108379,-0.00098451
29,9.7781,0.00212764,0.00040033,0.00040193,0.01872092,0.02213189,0.02213799,0.01383454,0.01310391,0.01314167,0.00196437,0.0019514,0.00196017,0.00199776,0.00182984,0.00184537,0.00246789,0.00210897,0.00212959,0.04111311,0.04152634,0.04161672,0.00041323,0.00050361
30,13.7158,0.00073264,4.344e-05,4.367e-05,0.01561806,0.0188695,0.01888036,0.01478852,0.01407524,0.01413002,0.00272684,0.00270388,0.00272492,0.0024297,0.00224378,0.00226607,0.00244905,0.0020959,0.00211659,0.03874481,0.04003174,0.04016163,0.00128693,0.00141682
31,19.2394,0.00018381,2.22e-06,2.24e-06,0.01220848,0.01487009,0.01487018,0.01601135,0.01535018,0.01539029,0.00378911,0.00375005,0.00376601,0.003048,0.00282548,0.00284409,0.00247256,0.00211933,0.00213767,0.03771332,0.03891735,0.03901047,0.00120403,0.00129715
32,26.9872,3.067e-05,4e-08,4e-08,0.00856428,0.01033545,0.0103314,0.01715914,0.01688505,0.0169335,0.00523572,0.0051764,0.00520596,0.00391744,0.00363169,0.00365666,0.00256051,0.00219805,0.00221582,0.03746776,0.03822668,0.03834338,0.00075892,0.00087562
33,37.8553,3.45e-06,0.0,0.0,0.00512218,0.00588868,0.00588675,0.01742777,0.01840048,0.01843774,0.0071281,0.00706076,0.00708974,0.00510179,0.00472007,0.00474468,0.0027275,0.00234436,0.00236166,0.0375108,0.03841435,0.03852056,0.00090355,0.00100977
34,53.1,3.1e-07,0.0,0.0,0.00258095,0.0024881,0.00248714,0.01589326,0.01926077,0.01928745,0.00944602,0.00943856,0.00947888,0.00665785,0.00614506,0.00617629,0.00298336,0.00256652,0.0025858,0.03756175,0.03989901,0.04001556,0.00233726,0.00245381
35,73.8875,3e-08,0.0,0.0,0.00122189,0.00071026,0.00071081,0.01252321,0.01850286,0.01850936,0.01185557,0.01209988,0.01214821,0.00858617,0.00791378,0.00795297,0.00334497,0.00287904,0.00290172,0.03753184,0.04210583,0.04222308,0.00457399,0.00469124
36,97.6625,0.0,0.0,0.0,0.00066205,0.00015407,0.00015473,0.00893169,0.01594056,0.01592281,0.01351897,0.01425592,0.01427246,0.01055787,0.00973455,0.00976221,0.00377128,0.00324716,0.00326849,0.03744186,0.04333226,0.0433807,0.0058904,0.00593884
37,121.4375,0.0,0.0,0.0,0.00042195,3.365e-05,3.384e-05,0.00626669,0.01266768,0.0126402,0.01413276,0.01545797,0.01547432,0.01230564,0.01136827,0.01139926,0.00420104,0.00361897,0.00364091,0.03732808,0.04314654,0.04318853,0.00581846,0.00586045
38,145.2125,0.0,0.0,0.0,0.00029324,7.67e-06,7.73e-06,0.00444812,0.00950119,0.00946738,0.01396595,0.01581351,0.01583589,0.0138436,0.01282794,0.01286839,0.00462114,0.00398386,0.00400523,0.03717204,0.04213417,0.04218463,0.00496213,0.00501259
39,168.9875,0.0,0.0,0.0,0.00021738,1.86e-06,1.88e-06,0.00327022,0.00683091,0.00680718,0.01327676,0.01545454,0.01545569,0.01520054,0.01414342,0.01417812,0.00504089,0.00435029,0.00436992,0.0370058,0.04078102,0.04081279,0.00377522,0.00380699
40,192.7625,0.0,0.0,0.0,0.00017186,4.8e-07,4.9e-07,0.00254685,0.00475973,0.00474985,0.01228099,0.01452842,0.01451247,0.01641441,0.01535905,0.01537602,0.00548592,0.00474066,0.00475116,0.03690004,0.03938834,0.03939,0.0024883,0.00248996
41,216.5375,0.0,0.0,0.0,0.00014252,1.3e-07,1.4e-07,0.00210259,0.00324504,0.00323529,0.01116202,0.01323335,0.01321754,0.01749648,0.01648386,0.01652028,0.00595707,0.005156,0.00518153,0.03686068,0.03811838,0.03815478,0.0012577,0.0012941
42,240.3125,0.0,0.0,0.0,0.00012063,4e-08,4e-08,0.00180381,0.00218014,0.00217863,0.0100313,0.01175532,0.01173567,0.01842321,0.01748595,0.01751411,0.00642679,0.00557291,0.00560088,0.03680573,0.03699437,0.03702933,0.00018864,0.0002236
